ct,tot_,moe_,tot_asian_indian,moe_asian_indian,tot_bangladeshi,moe_bangladeshi,tot_bhutanese,moe_bhutanese,tot_burmese,moe_burmese,tot_cambodian,moe_cambodian,"tot_chinese,_except_taiwanese","moe_chinese,_except_taiwanese",tot_filipino,moe_filipino,tot_hmong,moe_hmong,tot_indonesian,moe_indonesian,tot_japanese,moe_japanese,tot_korean,moe_korean,tot_laotian,moe_laotian,tot_malaysian,moe_malaysian,tot_mongolian,moe_mongolian,tot_nepalese,moe_nepalese,tot_okinawan,moe_okinawan,tot_pakistani,moe_pakistani,tot_sri_lankan,moe_sri_lankan,tot_taiwanese,moe_taiwanese,tot_thai,moe_thai,tot_vietnamese,moe_vietnamese,"tot_other_asian,_specified","moe_other_asian,_specified","tot_other_asian,_not_specified","moe_other_asian,_not_specified",tot_two_or_more_asian,moe_two_or_more_asian
36061011900,21,26,9,15,12,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061012000,142,121,56,88,0,13,0,13,0,13,0,13,36,53,50,54,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061012101,214,139,65,80,0,13,0,13,0,13,0,13,37,64,0,13,0,13,0,13,0,13,35,65,0,13,0,13,0,13,0,13,0,13,0,13,39,64,0,13,0,13,0,13,0,13,0,13,38,63
36061012102,288,137,0,18,0,18,0,18,0,18,0,18,149,126,0,18,0,18,22,34,28,50,41,81,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,48,56,0,18,0,18,0,18
36061012200,67,68,32,43,25,43,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061012400,1828,749,782,468,0,20,0,20,0,20,0,20,459,433,35,40,0,20,0,20,190,154,237,258,0,20,0,20,0,20,0,20,0,20,74,110,0,20,9,17,0,20,0,20,0,20,0,20,42,65
36061012500,605,179,143,99,0,13,0,13,0,13,0,13,298,136,0,13,0,13,0,13,48,39,46,45,0,13,0,13,0,13,15,26,0,13,0,13,0,13,55,60,0,13,0,13,0,13,0,13,0,13
36061012601,458,346,0,18,0,18,0,18,0,18,0,18,257,306,157,124,0,18,0,18,0,18,44,73,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061012602,208,213,145,197,0,13,0,13,0,13,0,13,36,60,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,56,0,13,0,13,0,13
36061012700,806,323,116,125,0,18,0,18,0,18,0,18,193,136,0,18,0,18,0,18,0,18,313,271,0,18,0,18,0,18,0,18,0,18,58,103,0,18,32,53,0,18,72,87,0,18,0,18,22,36
36061012800,343,251,135,174,0,18,0,18,0,18,0,18,168,175,28,34,0,18,0,18,0,18,12,21,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061012901,1806,893,39,49,426,600,0,18,0,18,0,18,929,418,0,18,0,18,0,18,96,109,108,93,0,18,0,18,0,18,0,18,0,18,0,18,0,18,90,126,36,57,0,18,0,18,57,107,25,43
36061012902,438,256,35,57,0,13,0,13,0,13,0,13,117,147,47,60,0,13,0,13,69,112,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,123,163,0,13,0,13,47,77,0,13
36061013000,75,69,74,69,0,13,0,13,0,13,0,13,0,13,1,2,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061013100,690,166,123,109,16,26,0,13,0,13,0,13,300,112,44,46,0,13,0,13,57,53,58,51,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,33,27,44,38,36,0,13,0,13,0,13
36061013201,134,151,0,13,0,13,0,13,0,13,0,13,57,71,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,77,129,0,13,0,13,0,13,0,13,0,13
36061013202,111,145,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,65,111,0,13,0,13,0,13,0,13,0,13,0,13,0,13,46,82,0,13,0,13,0,13,0,13,0,13,0,13
36061013203,295,269,0,13,0,13,0,13,0,13,0,13,126,156,28,51,0,13,0,13,0,13,141,209,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061013300,1700,538,159,98,0,18,0,18,0,18,0,18,747,354,142,102,0,18,0,18,0,18,189,111,0,18,0,18,0,18,0,18,0,18,17,34,0,18,13,21,0,18,31,49,0,18,138,218,264,382
36061013400,1116,553,820,579,0,20,0,20,0,20,0,20,53,68,51,83,0,20,0,20,0,20,75,88,0,20,0,20,0,20,0,20,0,20,0,20,0,20,53,73,0,20,0,20,0,20,0,20,64,107
36061013501,833,390,101,125,0,13,0,13,0,13,0,13,535,334,29,47,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,76,126,0,13,28,44,0,13,39,66,0,13,25,43,0,13
36061013502,1125,496,158,243,0,18,0,18,0,18,0,18,533,343,208,285,0,18,0,18,114,138,63,69,0,18,0,18,0,18,0,18,0,18,0,18,0,18,49,55,0,18,0,18,0,18,0,18,0,18
36061013601,35,61,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,35,61,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061013602,700,446,506,415,0,18,0,18,0,18,0,18,152,158,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,42,70,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061013603,161,230,0,13,0,13,0,13,0,13,0,13,0,13,161,230,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061013604,212,149,42,53,0,13,0,13,0,13,0,13,121,109,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,49,82,0,13,0,13,0,13
36061013700,1040,543,204,125,0,18,0,18,0,18,0,18,70,61,151,152,0,18,0,18,0,18,344,448,0,18,0,18,0,18,0,18,0,18,87,155,0,18,184,262,0,18,0,18,0,18,0,18,0,18
36061013800,1150,620,508,383,0,20,0,20,36,59,0,20,197,150,68,83,0,20,0,20,0,20,341,484,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
36061013900,1669,539,387,380,0,20,0,20,0,20,0,20,933,397,43,74,0,20,0,20,75,87,140,166,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,77,126,14,31
36061014000,428,232,116,124,33,49,0,18,0,18,0,18,59,46,18,28,0,18,0,18,0,18,130,173,0,18,0,18,0,18,0,18,0,18,16,25,0,18,42,65,0,18,0,18,0,18,0,18,14,22
36061014200,367,240,185,146,0,13,0,13,0,13,0,13,141,187,0,13,0,13,0,13,41,49,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061014300,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061014401,530,415,95,96,0,13,0,13,0,13,0,13,44,62,16,27,0,13,0,13,0,13,325,396,0,13,0,13,0,13,0,13,0,13,50,79,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061014402,724,256,212,137,0,18,0,18,0,18,0,18,64,63,47,39,0,18,0,18,67,66,199,161,0,18,0,18,0,18,0,18,0,18,0,18,0,18,18,27,0,18,70,85,0,18,0,18,47,74
36061014500,1536,585,173,156,0,18,0,18,0,18,0,18,504,275,41,66,0,18,0,18,589,541,131,104,0,18,0,18,0,18,0,18,0,18,42,67,0,18,46,69,10,24,0,18,0,18,0,18,0,18
36061014601,511,206,103,78,0,13,0,13,0,13,0,13,71,58,36,32,0,13,0,13,162,147,64,71,0,13,0,13,0,13,0,13,0,13,37,56,0,13,20,32,0,13,0,13,0,13,0,13,18,25
36061014602,806,503,492,449,0,18,0,18,0,18,0,18,129,161,59,68,0,18,0,18,0,18,23,36,0,18,55,88,0,18,0,18,0,18,0,18,0,18,0,18,0,18,20,32,0,18,0,18,28,44
36061014700,861,364,101,66,0,13,0,13,0,13,0,13,420,210,24,18,0,13,0,13,44,44,129,193,0,13,0,13,0,13,0,13,0,13,42,46,0,13,28,44,0,13,26,28,18,27,0,13,29,38
36061014801,141,78,84,70,0,13,0,13,0,13,0,13,16,17,8,14,0,13,0,13,18,20,15,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061014802,533,282,160,150,0,18,0,18,0,18,0,18,144,144,56,86,0,18,0,18,116,118,18,27,0,18,0,18,0,18,0,18,0,18,0,18,0,18,39,63,0,18,0,18,0,18,0,18,0,18
36061014900,699,364,1,3,0,18,0,18,0,18,0,18,210,117,223,302,0,18,0,18,47,44,63,78,0,18,0,18,7,14,0,18,0,18,61,89,0,18,16,25,0,18,71,109,0,18,0,18,0,18
36061015001,55,39,7,11,0,13,0,13,0,13,0,13,20,21,0,13,0,13,0,13,20,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,3,7,0,13,5,10,0,13,0,13,0,13
36061015002,219,157,85,115,0,13,0,13,0,13,0,13,110,95,0,13,0,13,0,13,0,13,24,40,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061015101,306,187,89,149,0,13,0,13,0,13,0,13,217,148,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061015102,1725,665,249,259,0,18,0,18,0,18,0,18,566,420,0,18,0,18,0,18,135,194,487,389,0,18,0,18,0,18,0,18,0,18,181,236,0,18,43,57,0,18,0,18,0,18,0,18,64,85
36061015200,736,304,140,141,0,18,0,18,127,196,0,18,158,115,31,40,0,18,0,18,155,131,19,29,0,18,83,77,0,18,0,18,0,18,1,3,0,18,0,18,0,18,0,18,0,18,0,18,22,33
36061015301,163,118,20,42,0,13,0,13,0,13,0,13,24,40,0,13,0,13,0,13,20,32,71,83,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,28,46
36061015302,709,341,7,24,0,18,0,18,0,18,0,18,91,82,77,123,0,18,0,18,184,183,223,357,0,18,0,18,0,18,0,18,0,18,0,18,19,30,68,116,0,18,21,36,0,18,0,18,19,46
36061015401,522,67,33,55,0,18,0,18,0,18,0,18,489,40,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061015402,120,105,33,55,0,13,0,13,0,13,0,13,0,13,49,65,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,38,65,0,13,0,13,0,13
36061015403,588,435,0,18,0,18,0,18,0,18,0,18,351,311,234,300,0,18,0,18,0,18,3,6,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061015501,850,424,485,352,0,18,0,18,0,18,0,18,125,119,114,131,0,18,0,18,0,18,27,45,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,99,158,0,18,0,18,0,18,0,18
36061015502,1024,602,142,163,0,18,0,18,0,18,0,18,217,199,52,69,0,18,0,18,0,18,134,106,0,18,0,18,0,18,0,18,0,18,0,18,0,18,32,51,0,18,0,18,0,18,398,543,49,78
36061015601,806,231,203,146,0,18,0,18,0,18,0,18,166,77,84,79,0,18,0,18,27,29,229,187,0,18,0,18,0,18,0,18,0,18,48,65,0,18,0,18,0,18,0,18,13,21,0,18,36,42
36061015602,334,167,105,102,0,13,0,13,0,13,0,13,148,137,14,33,0,13,0,13,25,40,42,64,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061015700,1060,491,254,228,0,20,0,20,0,20,0,20,276,270,0,20,0,20,0,20,6,34,390,333,0,20,0,20,0,20,0,20,0,20,0,20,0,20,37,72,0,20,0,20,58,95,0,20,39,61
36061015801,418,298,145,169,0,13,0,13,0,13,0,13,115,151,18,26,0,13,0,13,33,42,8,15,0,13,0,13,0,13,0,13,0,13,42,58,0,13,18,29,0,13,0,13,0,13,39,67,0,13
36061015802,630,192,144,78,3,5,0,13,0,13,0,13,105,60,47,71,0,13,28,46,223,111,38,43,0,13,0,13,0,13,9,13,0,13,0,13,0,13,0,13,9,19,0,13,0,13,11,17,13,20
36061015900,799,312,52,61,0,18,0,18,0,18,0,18,276,219,95,89,0,18,0,18,194,179,71,90,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,51,84,35,55,0,18,25,40,0,18
36061016001,163,102,74,97,0,13,0,13,0,13,0,13,1,3,9,14,0,13,0,13,70,55,6,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,3,6,0,13,0,13,0,13,0,13,0,13
36061016002,468,170,171,116,10,19,0,13,0,13,0,13,174,82,0,13,0,13,0,13,19,23,81,66,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,9,0,13,0,13,9,14,0,13,0,13
36061016100,369,176,86,94,0,18,0,18,0,18,0,18,219,146,26,29,0,18,0,18,13,21,19,30,0,18,0,18,0,18,0,18,0,18,6,10,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061016200,1304,425,65,52,0,18,0,18,0,18,0,18,728,469,0,18,0,18,0,18,94,115,32,53,0,18,103,138,0,18,0,18,0,18,0,18,0,18,0,18,0,18,15,24,0,18,267,203,0,18
36061016300,452,323,133,157,0,18,0,18,0,18,0,18,243,250,55,78,0,18,0,18,21,36,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061016400,1059,443,196,180,44,75,0,18,0,18,0,18,697,368,0,18,0,18,0,18,21,36,6,11,0,18,0,18,0,18,0,18,0,18,1,3,0,18,10,18,0,18,0,18,0,18,78,120,6,10
36061016500,484,234,52,60,0,18,0,18,0,18,0,18,75,64,112,113,0,18,0,18,96,124,74,84,0,18,3,5,0,18,0,18,0,18,72,127,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061016600,772,543,33,59,0,18,0,18,0,18,0,18,601,556,62,69,0,18,0,18,38,68,25,29,0,18,0,18,0,18,0,18,0,18,0,18,0,18,13,14,0,18,0,18,0,18,0,18,0,18
36061016700,514,239,274,237,0,18,0,18,0,18,0,18,113,64,0,18,0,18,0,18,53,57,74,50,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061016800,251,120,5,8,0,18,0,18,0,18,0,18,204,116,0,18,0,18,42,60,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061016900,491,225,150,132,0,18,0,18,0,18,0,18,114,112,72,111,0,18,0,18,0,18,82,115,0,18,0,18,0,18,0,18,0,18,37,60,0,18,0,18,0,18,36,59,0,18,0,18,0,18
36061017000,2140,1207,34,59,0,18,0,18,0,18,0,18,1798,1246,173,131,0,18,0,18,4,7,45,44,0,18,0,18,0,18,78,119,0,18,0,18,0,18,0,18,0,18,8,20,0,18,0,18,0,18
36061017100,256,185,85,128,0,18,0,18,0,18,0,18,25,51,0,18,0,18,0,18,0,18,80,84,0,18,0,18,0,18,0,18,0,18,5,12,0,18,23,40,0,18,38,48,0,18,0,18,0,18
36061017200,233,159,53,83,0,18,0,18,0,18,0,18,42,52,74,117,0,18,0,18,29,46,15,24,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,20,33
36061017300,923,622,285,305,0,18,0,18,0,18,0,18,608,525,0,18,0,18,0,18,6,22,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,24,38,0,18,0,18,0,18,0,18,0,18
36061017401,363,287,115,201,0,13,0,13,0,13,0,13,138,162,86,139,0,13,15,25,0,13,9,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061017402,366,230,69,68,0,13,0,13,0,13,0,13,189,209,61,45,0,13,0,13,10,16,9,11,0,13,0,13,0,13,0,13,0,13,13,19,0,13,0,13,0,13,0,13,0,13,15,22,0,13
36061017500,509,312,213,258,0,20,0,20,0,20,0,20,129,105,0,20,0,20,0,20,47,55,99,187,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,6,12,0,20,0,20,0,20,15,25
36061017700,317,205,40,48,0,20,0,20,0,20,0,20,211,170,14,25,0,20,0,20,0,20,52,90,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
36061017800,303,265,23,35,0,13,0,13,0,13,0,13,24,26,203,254,0,13,0,13,0,13,12,19,0,13,20,36,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,21,37
36061017900,701,433,45,55,0,18,0,18,0,18,0,18,361,392,64,78,0,18,0,18,0,18,108,99,0,18,0,18,0,18,0,18,0,18,97,130,0,18,26,45,0,18,0,18,0,18,0,18,0,18
36061018000,290,237,11,18,26,44,0,18,0,18,0,18,222,227,0,18,0,18,0,18,0,18,0,18,0,18,7,12,0,18,0,18,0,18,24,39,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061018100,302,199,29,50,0,18,0,18,0,18,0,18,70,81,66,88,0,18,0,18,32,56,93,136,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,12,35
36061018200,221,170,0,18,0,18,0,18,0,18,0,18,141,140,33,40,0,18,0,18,47,76,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061018300,630,326,63,99,0,18,0,18,0,18,0,18,202,185,151,193,0,18,0,18,153,185,61,97,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061018400,510,279,157,164,149,181,0,18,0,18,0,18,89,135,31,47,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,84,130
36061018500,954,471,247,220,0,18,0,18,0,18,0,18,357,284,0,18,0,18,0,18,0,18,267,299,0,18,0,18,0,18,0,18,0,18,0,18,0,18,62,92,0,18,0,18,0,18,0,18,21,31
36061018600,82,137,0,18,0,18,0,18,0,18,0,18,36,146,0,18,0,18,0,18,14,30,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,32,63
36061018700,974,345,152,155,0,18,0,18,0,18,0,18,560,332,30,53,0,18,0,18,136,211,96,114,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061018800,213,116,0,13,17,32,0,13,0,13,0,13,23,37,26,41,0,13,0,13,101,95,46,66,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061018900,1031,730,179,290,0,20,0,20,0,20,0,20,820,658,0,20,0,20,0,20,7,13,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,19,33,4,8,2,5,0,20,0,20,0,20
36061019000,422,171,150,117,0,13,0,13,0,13,0,13,175,122,10,14,0,13,0,13,13,20,32,37,0,13,0,13,0,13,0,13,0,13,11,16,9,15,0,13,0,13,8,14,0,13,0,13,14,22
36061019100,713,360,53,89,0,18,0,18,0,18,0,18,425,352,0,18,0,18,0,18,60,97,70,70,0,18,0,18,0,18,0,18,0,18,0,18,0,18,89,61,0,18,0,18,0,18,16,32,0,18
36061019200,42,42,2,4,0,13,0,13,0,13,0,13,36,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,8
36061019300,1518,613,612,477,8,11,0,20,0,20,0,20,560,369,0,20,0,20,0,20,0,20,160,138,0,20,0,20,0,20,0,20,0,20,0,20,0,20,68,85,110,144,0,20,0,20,0,20,0,20
36061019400,276,265,163,249,0,18,0,18,0,18,0,18,18,27,88,106,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,7,15,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061019500,994,349,286,155,0,18,0,18,0,18,0,18,615,290,16,24,0,18,0,18,10,19,67,111,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061019600,125,99,15,21,0,13,0,13,0,13,0,13,63,58,0,13,0,13,0,13,17,19,30,50,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
